	nombre	descriptivo	principal
158	dacion_en_pago	1.0	1.0
159	cesion_en_pago	1.0	0.0
160	daño_positivo	1.0	1.0
161	rendicion_de_cuentas	1.0	1.0
162	delivered_duty_unpaid	1.0	0.0
163	deber_de_informacion	1.0	1.0
164	deber_de_socorro	1.0	0.0
165	declaracion_de_impacto_ambiental	1.0	1.0
166	reglamento_notarial	0.0	0.0
167	delegado_sindical	1.0	0.0
168	delito_contra_la_propiedad_industrial	1.0	1.0
169	delito_ecologico	1.0	1.0
170	delito_contra_la_hacienda_publica	1.0	1.0
171	delito_imaginario	1.0	0.0
172	delito_imprudente	1.0	1.0
173	delito_urbanistico	1.0	0.0
174	delito	1.0	0.0
175	delito_contra_la_propiedad_intelectual	1.0	1.0
176	delivered_ex_quay_duty_pay	1.0	0.0
177	demanda_de_ejecucion	1.0	0.0
178	denominacion_de_origen_protegida	1.0	1.0
179	delivered_ex_quay	1.0	0.0
180	derecho_de_retencion	1.0	1.0
181	derecho_de_superficie	1.0	1.0
182	derecho_de_tanteo	1.0	0.0
183	derecho_de_vuelo	1.0	0.0
184	derecho_maritimo	1.0	0.0
185	descuento_bancario	1.0	0.0
186	desistimiento_unilateral	1.0	1.0
187	desistimiento	1.0	0.0
188	despido_improcedente	1.0	1.0
189	despido_procedente	1.0	1.0
190	detective_privado	1.0	0.0
191	deuda_no_liquida	1.0	0.0
192	delivered_ex_ship	1.0	0.0
193	dies_a_quo	1.0	1.0
194	dies_ad_quem	1.0	0.0
195	diligencias_finales	1.0	0.0
196	disfrute	0.0	0.0
197	disminucion_del_rendimiento_laboral	1.0	0.0
198	distribucion_en_exclusiva	1.0	0.0
199	documento_nacional_de_identidad	1.0	0.0
200	doble_imposicion	1.0	1.0
201	conducta_dolosa	1.0	1.0
202	domicilio_conyugal	1.0	0.0
203	drogadiccion	1.0	0.0
204	sustancia_estupefaciente	1.0	0.0
205	propietario	1.0	0.0
206	ejecucion_de_aval	1.0	1.0
207	elementos_comunes	1.0	1.0
208	empresa_mixta	1.0	0.0
209	censo_enfiteutico	1.0	0.0
210	medianeria_horizontal	1.0	0.0
211	engineering	1.0	0.0
212	entrega_controlada	1.0	0.0
213	error_obstativo	1.0	0.0
214	escuela_infantil	1.0	0.0
215	establecimiento_penitenciario	1.0	0.0
216	fraude_procesal	1.0	0.0
217	estimacion_objetiva	1.0	1.0
218	ett	1.0	0.0
219	entidad_urbanistica_de_conservacion	1.0	0.0
220	exceptio_non_adimpleti_contractus	1.0	1.0
221	exceptio_non_rite_adimpleti_contractus	1.0	0.0
222	exceso_de_adjudicacion	1.0	1.0
223	exequatur	1.0	1.0
224	expectativa_de_derecho	1.0	0.0
225	extincion_de_condominio	1.0	1.0
226	franco_fabrica	1.0	0.0
227	falsedad_documental	1.0	1.0
228	falta_de_consentimiento	1.0	1.0
229	falta_de_personacion	1.0	0.0
230	falta_de_postulacion	1.0	0.0
231	falta_de_preaviso	1.0	1.0
232	organizacion_de_naciones_unidas_para_la_alimentacion_y_la_agricultura	0.0	0.0
233	fax	1.0	0.0
234	fe_publica_notarial	1.0	0.0
235	fe_publica_registral	1.0	0.0
236	fondo_europeo_de_desarrollo_regional	1.0	0.0
237	fondo_español_de_garantia_agraria	1.0	0.0
238	fondo_europeo_de_orientacion_y_garantia_agricola	1.0	0.0
239	ferrocarril	1.0	0.0
240	contrato_de_fiducia	1.0	0.0
241	filiacion_matrimonial	1.0	1.0
242	filiacion_no_matrimonial	1.0	1.0
243	expiracion_del_plazo	1.0	1.0
244	firma_delegada	1.0	0.0
245	fiscalia_general_del_estado	0.0	0.0
246	fondo_monetario_internacional	1.0	0.0
247	free_on_board	1.0	0.0
248	fogasa	1.0	1.0
249	fotografia	1.0	0.0
250	fraude_fiscal	1.0	0.0
251	apariencia_de_buen_derecho	1.0	1.0
252	futbolista	1.0	0.0
253	plaza_de_aparcamiento	1.0	0.0
254	gastos_comunitarios	1.0	1.0
255	gastos_de_conservacion	1.0	0.0
256	gatt	1.0	0.0
257	grupo_de_empresas	1.0	1.0
258	vigilante_de_seguridad	1.0	0.0
259	hecho_admitido	1.0	0.0
260	historial_medico	1.0	0.0
261	horas_extraordinarias	1.0	0.0
262	iae	1.0	1.0
263	ibi	1.0	1.0
264	instituto_de_credito_oficial	0.0	0.0
265	impuesto_general_indirecto_canario	1.0	1.0
266	impacto_ambiental	1.0	1.0
267	impuesto_especial_sobre_determinados_medios_de_transporte	1.0	1.0
268	impuesto_sobre_el_incremento_del_valor_de_los_terrenos_de_naturaleza_urbana	1.0	1.0
